ENTITY,Currency,Alphabetic Code,Numeric Code,Minor unit exp,Fund,"Minor unit exp, coerced",Minor unit denominator
AFGHANISTAN,Afghani,AFN,971,2,,2,100
ÅLAND ISLANDS,Euro,EUR,978,2,,2,100
ALBANIA,Lek,ALL,008,2,,2,100
ALGERIA,Algerian Dinar,DZD,012,2,,2,100
AMERICAN SAMOA,US Dollar,USD,840,2,,2,100
ANDORRA,Euro,EUR,978,2,,2,100
ANGOLA,Kwanza,AOA,973,2,,2,100
ANGUILLA,East Caribbean Dollar,XCD,951,2,,2,100
ANTARCTICA,No universal currency,,,,,,
ANTIGUA AND BARBUDA,East Caribbean Dollar,XCD,951,2,,2,100
ARGENTINA,Argentine Peso,ARS,032,2,,2,100
ARMENIA,Armenian Dram,AMD,051,2,,2,100
ARUBA,Aruban Florin,AWG,533,2,,2,100
AUSTRALIA,Australian Dollar,AUD,036,2,,2,100
AUSTRIA,Euro,EUR,978,2,,2,100
AZERBAIJAN,Azerbaijan Manat,AZN,944,2,,2,100
BAHAMAS (THE),Bahamian Dollar,BSD,044,2,,2,100
BAHRAIN,Bahraini Dinar,BHD,048,3,,3,1000
BANGLADESH,Taka,BDT,050,2,,2,100
BARBADOS,Barbados Dollar,BBD,052,2,,2,100
BELARUS,Belarusian Ruble,BYN,933,2,,2,100
BELGIUM,Euro,EUR,978,2,,2,100
BELIZE,Belize Dollar,BZD,084,2,,2,100
BENIN,CFA Franc BCEAO,XOF,952,0,,0,1
BERMUDA,Bermudian Dollar,BMD,060,2,,2,100
BHUTAN,Indian Rupee,INR,356,2,,2,100
BHUTAN,Ngultrum,BTN,064,2,,2,100
BOLIVIA (PLURINATIONAL STATE OF),Boliviano,BOB,068,2,,2,100
BOLIVIA (PLURINATIONAL STATE OF),Mvdol,BOV,984,2,TRUE,2,100
"BONAIRE, SINT EUSTATIUS AND SABA",US Dollar,USD,840,2,,2,100
BOSNIA AND HERZEGOVINA,Convertible Mark,BAM,977,2,,2,100
BOTSWANA,Pula,BWP,072,2,,2,100
BOUVET ISLAND,Norwegian Krone,NOK,578,2,,2,100
BRAZIL,Brazilian Real,BRL,986,2,,2,100
BRITISH INDIAN OCEAN TERRITORY (THE),US Dollar,USD,840,2,,2,100
BRUNEI DARUSSALAM,Brunei Dollar,BND,096,2,,2,100
BULGARIA,Bulgarian Lev,BGN,975,2,,2,100
BURKINA FASO,CFA Franc BCEAO,XOF,952,0,,0,1
BURUNDI,Burundi Franc,BIF,108,0,,0,1
CABO VERDE,Cabo Verde Escudo,CVE,132,2,,2,100
CAMBODIA,Riel,KHR,116,2,,2,100
CAMEROON,CFA Franc BEAC,XAF,950,0,,0,1
CANADA,Canadian Dollar,CAD,124,2,,2,100
CAYMAN ISLANDS (THE),Cayman Islands Dollar,KYD,136,2,,2,100
CENTRAL AFRICAN REPUBLIC (THE),CFA Franc BEAC,XAF,950,0,,0,1
CHAD,CFA Franc BEAC,XAF,950,0,,0,1
CHILE,Chilean Peso,CLP,152,0,,0,1
CHILE,Unidad de Fomento,CLF,990,4,TRUE,4,10000
CHINA,Yuan Renminbi,CNY,156,2,,2,100
CHRISTMAS ISLAND,Australian Dollar,AUD,036,2,,2,100
COCOS (KEELING) ISLANDS (THE),Australian Dollar,AUD,036,2,,2,100
COLOMBIA,Colombian Peso,COP,170,2,,2,100
COLOMBIA,Unidad de Valor Real,COU,970,2,TRUE,2,100
COMOROS (THE),Comorian Franc ,KMF,174,0,,0,1
CONGO (THE DEMOCRATIC REPUBLIC OF THE),Congolese Franc,CDF,976,2,,2,100
CONGO (THE),CFA Franc BEAC,XAF,950,0,,0,1
COOK ISLANDS (THE),New Zealand Dollar,NZD,554,2,,2,100
COSTA RICA,Costa Rican Colon,CRC,188,2,,2,100
CÔTE D'IVOIRE,CFA Franc BCEAO,XOF,952,0,,0,1
CROATIA,Euro,EUR,978,2,,2,100
CUBA,Cuban Peso,CUP,192,2,,2,100
CURAÇAO,Netherlands Antillean Guilder,ANG,532,2,,2,100
CYPRUS,Euro,EUR,978,2,,2,100
CZECHIA,Czech Koruna,CZK,203,2,,2,100
DENMARK,Danish Krone,DKK,208,2,,2,100
DJIBOUTI,Djibouti Franc,DJF,262,0,,0,1
DOMINICA,East Caribbean Dollar,XCD,951,2,,2,100
DOMINICAN REPUBLIC (THE),Dominican Peso,DOP,214,2,,2,100
ECUADOR,US Dollar,USD,840,2,,2,100
EGYPT,Egyptian Pound,EGP,818,2,,2,100
EL SALVADOR,El Salvador Colon,SVC,222,2,,2,100
EL SALVADOR,US Dollar,USD,840,2,,2,100
EQUATORIAL GUINEA,CFA Franc BEAC,XAF,950,0,,0,1
ERITREA,Nakfa,ERN,232,2,,2,100
ESTONIA,Euro,EUR,978,2,,2,100
ESWATINI,Lilangeni,SZL,748,2,,2,100
ETHIOPIA,Ethiopian Birr,ETB,230,2,,2,100
EUROPEAN UNION,Euro,EUR,978,2,,2,100
FALKLAND ISLANDS (THE) [MALVINAS],Falkland Islands Pound,FKP,238,2,,2,100
FAROE ISLANDS (THE),Danish Krone,DKK,208,2,,2,100
FIJI,Fiji Dollar,FJD,242,2,,2,100
FINLAND,Euro,EUR,978,2,,2,100
FRANCE,Euro,EUR,978,2,,2,100
FRENCH GUIANA,Euro,EUR,978,2,,2,100
FRENCH POLYNESIA,CFP Franc,XPF,953,0,,0,1
FRENCH SOUTHERN TERRITORIES (THE),Euro,EUR,978,2,,2,100
GABON,CFA Franc BEAC,XAF,950,0,,0,1
GAMBIA (THE),Dalasi,GMD,270,2,,2,100
GEORGIA,Lari,GEL,981,2,,2,100
GERMANY,Euro,EUR,978,2,,2,100
GHANA,Ghana Cedi,GHS,936,2,,2,100
GIBRALTAR,Gibraltar Pound,GIP,292,2,,2,100
GREECE,Euro,EUR,978,2,,2,100
GREENLAND,Danish Krone,DKK,208,2,,2,100
GRENADA,East Caribbean Dollar,XCD,951,2,,2,100
GUADELOUPE,Euro,EUR,978,2,,2,100
GUAM,US Dollar,USD,840,2,,2,100
GUATEMALA,Quetzal,GTQ,320,2,,2,100
GUERNSEY,Pound Sterling,GBP,826,2,,2,100
GUINEA,Guinean Franc,GNF,324,0,,0,1
GUINEA-BISSAU,CFA Franc BCEAO,XOF,952,0,,0,1
GUYANA,Guyana Dollar,GYD,328,2,,2,100
HAITI,Gourde,HTG,332,2,,2,100
HAITI,US Dollar,USD,840,2,,2,100
HEARD ISLAND AND McDONALD ISLANDS,Australian Dollar,AUD,036,2,,2,100
HOLY SEE (THE),Euro,EUR,978,2,,2,100
HONDURAS,Lempira,HNL,340,2,,2,100
HONG KONG,Hong Kong Dollar,HKD,344,2,,2,100
HUNGARY,Forint,HUF,348,2,,2,100
ICELAND,Iceland Krona,ISK,352,0,,0,1
INDIA,Indian Rupee,INR,356,2,,2,100
INDONESIA,Rupiah,IDR,360,2,,2,100
INTERNATIONAL MONETARY FUND (IMF) ,SDR (Special Drawing Right),XDR,960,continuous,,continuous,continuous
IRAN (ISLAMIC REPUBLIC OF),Iranian Rial,IRR,364,2,,2,100
IRAQ,Iraqi Dinar,IQD,368,3,,3,1000
IRELAND,Euro,EUR,978,2,,2,100
ISLE OF MAN,Pound Sterling,GBP,826,2,,2,100
ISRAEL,New Israeli Sheqel,ILS,376,2,,2,100
ITALY,Euro,EUR,978,2,,2,100
JAMAICA,Jamaican Dollar,JMD,388,2,,2,100
JAPAN,Yen,JPY,392,0,,0,1
JERSEY,Pound Sterling,GBP,826,2,,2,100
JORDAN,Jordanian Dinar,JOD,400,3,,3,1000
KAZAKHSTAN,Tenge,KZT,398,2,,2,100
KENYA,Kenyan Shilling,KES,404,2,,2,100
KIRIBATI,Australian Dollar,AUD,036,2,,2,100
KOREA (THE DEMOCRATIC PEOPLE’S REPUBLIC OF),North Korean Won,KPW,408,2,,2,100
KOREA (THE REPUBLIC OF),Won,KRW,410,0,,0,1
KUWAIT,Kuwaiti Dinar,KWD,414,3,,3,1000
KYRGYZSTAN,Som,KGS,417,2,,2,100
